customer_number,berlangganan_deposito
445420,0.05375350658071561
585604,0.03480887817926488
888824,0.027945027464925963
816820,0.033346438269403415
542716,0.06872766379069026
937852,0.03061387281640826
434084,0.04990910421452749
230861,0.03510078705260616
159684,0.361371980358893
274159,0.07249612429855898
415073,0.10179947491143028
839604,0.7738976937567245
222848,0.052709670049967454
746851,0.04418782748473458
359083,0.03545937528181745
764740,0.09657944752941759
532666,0.1082306116641497
542489,0.035385776394424785
683800,0.09963041891456578
393880,0.03288260759518714
346443,0.09766402281298038
722690,0.02501685800998083
797639,0.06696040893999357
974186,0.3291316014728982
774649,0.0718284830559718
482188,0.13124132906993227
312516,0.0530372115220243
363861,0.07742044510986862
714683,0.10237017101789533
708370,0.07219209891882046
371413,0.03440140459052246
630217,0.03238497229569581
571146,0.13711288135082408
962328,0.043172246424771014
470375,0.029415196938325776
945629,0.03480008414710661
179592,0.024775483483517702
744791,0.10528585401885283
289641,0.23613045506898184
595829,0.06610503218263612
620262,0.3358112745307505
738283,0.04457289497997513
288862,0.40322724698013523
854233,0.029717227258858146
401365,0.04643426155611288
671370,0.11766499096469729
307359,0.056737327931607726
845744,0.039903924511412635
833496,0.09416140773879585
889877,0.047510450826062374
600454,0.25157087725431837
595366,0.06754429789623553
299980,0.19293194336689648
316195,0.06743424045003565
892132,0.12288194181220628
429227,0.30360868215680986
568864,0.07948971956115916
453514,0.033138910995524316
655724,0.05847530852198127
405125,0.09293840849690549
357624,0.04983153020418641
706564,0.05965802516347116
328177,0.10559038635728718
322194,0.07742611975076326
415259,0.061451822479268566
737899,0.21243340706406263
934827,0.044708353913991375
932482,0.05519408276373256
452141,0.0434703458010044
252326,0.044790636028982506
543165,0.023598114071311918
961597,0.06681391217679003
529109,0.030846393695885516
830645,0.09607055873148644
628282,0.04884475053859458
989235,0.24792361551786596
779931,0.033046896624540564
171152,0.21340446554098946
467849,0.04484971779981772
424751,0.06665269758832919
335651,0.05149768590866867
960826,0.04414916513489148
307645,0.06200094129226821
126669,0.03276280989795444
876278,0.05401669136557698
464099,0.05589274186741458
682185,0.04134055660292851
912996,0.04071210017033016
540820,0.045314461711962996
667534,0.026436833823397343
232173,0.11548553041954791
503340,0.0407066788679495
524302,0.19250217441741407
722557,0.02905161054030449
217598,0.05245733325929151
169002,0.11221926575885949
651324,0.1206279883077498
663126,0.042445976251468946
621228,0.054549806680522755
963929,0.025939902285870637
809507,0.06143973172635292
453945,0.05831758583301776
743732,0.4083326496720144
385403,0.5858372917129359
241287,0.41913950226908414
737937,0.11980868049606126
125159,0.037382184967354806
122370,0.04437596145164161
814180,0.03748382195924034
945339,0.05543331959546205
364136,0.040434401491169523
343072,0.117543621737787
938465,0.2706282555997073
149951,0.0686395660697592
222232,0.049587413854525225
832629,0.04265597660880037
296781,0.0597101931423366
748715,0.045929952075035294
604027,0.2243915547578248
859866,0.06098604211228142
792616,0.02451937997636834
465754,0.04871204045741823
678835,0.03944372921973746
998270,0.3240411986854601
166767,0.037354539512515994
739982,0.07668848847855049
806252,0.03351415232019907
921673,0.13965403939381943
611081,0.18592890420293326
818716,0.06421506981725958
230739,0.03538693920503853
216209,0.13960842611082563
516335,0.0350332837883337
644791,0.05224814434741788
176058,0.11910240949320482
979898,0.03198045865891396
503495,0.040941855385582655
878173,0.041509626582468664
722870,0.1261844006337813
724786,0.03389570664024327
659692,0.08409088266050327
159203,0.0169599753695802
155945,0.11092243567999523
277862,0.03720168821726968
873897,0.05650480430321338
445443,0.061116573883665835
818967,0.03790554461319599
478589,0.22465020653697126
991622,0.035653621349253595
511840,0.06966150478556103
459299,0.03822585878706842
822075,0.03493427914792686
523100,0.3292219788922832
304343,0.04107491732170115
221439,0.04997752607743351
818521,0.15093921620498263
728235,0.025483836806491127
917490,0.16003933045017807
108047,0.09743061063471864
104801,0.0582643243242328
273368,0.7110929436749475
676406,0.055618225672217615
278995,0.08916322366283619
112831,0.7534742761923697
601516,0.12321840509600769
296954,0.5518856156069563
982848,0.06030321092005943
428287,0.06320727599885315
679849,0.07682200205880971
744389,0.03783224429788113
558008,0.13940294483060336
861444,0.050148543447846756
826041,0.029109005167124516
869683,0.03897264449821218
800301,0.03162669815897133
590588,0.0753129072976463
476971,0.0625293463406387
897567,0.30805853570656827
710714,0.13770844355757608
791479,0.07511620356501299
198512,0.04976435783358607
726908,0.4894219035727813
465365,0.0624580527789329
487974,0.03662015734084998
103998,0.611233574868925
450545,0.05852920771591121
700295,0.07423541598899179
592903,0.05698935154862402
740969,0.03459128802470511
545984,0.5494594555187848
792271,0.5036323848328618
638055,0.06504790564010098
905049,0.16076479985165418
769789,0.047140750368089485
285737,0.13016437221652707
697928,0.05263026864546469
539662,0.4855879948566222
426578,0.031655333134938735
914620,0.03640005997758242
122847,0.03768418215373233
448954,0.057230562712746694
664546,0.07009780725487197
252673,0.03031311721466226
379979,0.042105336923975514
739389,0.027837700956978344
896794,0.29383774339386265
922027,0.04618420534010538
788709,0.13424148320352705
226556,0.2550485755393281
635801,0.386722491949477
724670,0.11084913617830686
456865,0.05548614209350479
789206,0.04089164181132951
713452,0.05408600330056546
503601,0.05500312224733919
694845,0.060593151581883595
699198,0.07516373824683764
871218,0.015257101440030629
701739,0.5071774447189464
792667,0.04931345148314092
265126,0.07161953001975384
985164,0.05740980358876231
225460,0.03906272629515865
277911,0.11364467598488581
131758,0.0920270856623671
396481,0.04226090217420374
224647,0.049351659191966046
763141,0.06860358454146435
579637,0.06376351039647844
534004,0.01911539862620005
390471,0.0662411445718143
585692,0.043940321778754635
487001,0.04624286444005997
274990,0.055149978446904405
676316,0.180117368139878
468239,0.030550091444570975
212058,0.024949448549116553
967235,0.03326754811503489
464472,0.0679453094649464
269117,0.10519801054580165
582426,0.04417997630284149
576946,0.031032498192030578
932807,0.040371948272985465
689967,0.11485074593332303
189240,0.03704929942372733
628987,0.03382914385199085
581662,0.035645397759755754
294999,0.03754396297576093
219955,0.06127370910107848
496583,0.13140851936209863
494591,0.04676228583452215
232619,0.06353197581699316
472050,0.20477491741845302
729890,0.4257965890094234
426399,0.07300819608035028
322143,0.045227606380594046
110452,0.11282850352927158
183222,0.131001840023386
913723,0.041489883816556626
830481,0.2290869027668251
378477,0.06667838815111424
296209,0.039022383669213026
190961,0.05782228986788209
230615,0.067798026825187
267515,0.061920211675763226
373488,0.04397941228356738
978201,0.03516681652525939
477140,0.05820044455767993
485900,0.2758729043711567
869092,0.0497110120416351
223766,0.033120626730889904
690418,0.06256226156515239
758624,0.24484395399921502
615065,0.06190581109368683
591932,0.02746700118985098
308745,0.027989211432834175
913671,0.04788024793746049
834323,0.03357986358230793
659254,0.2206238737362854
193611,0.04667196172689067
750025,0.32342569487945183
537106,0.03557580809349882
898654,0.042762932690302374
210175,0.05405918894338508
288396,0.05749396701136407
737836,0.05911026578394978
421587,0.05151604998564782
529398,0.06166599861686285
639811,0.8223341146142923
284972,0.05485629893167779
514337,0.03413101753759481
271244,0.03265874042649385
328686,0.033624093149212234
362004,0.0487688987883529
816914,0.1522665575457748
507435,0.332909557238382
712306,0.02980712158093344
254685,0.029861443386019874
386884,0.13690139936087717
851130,0.10089700505234389
460150,0.26958506105350327
811973,0.02968087770188365
